external_id,created_at,total,customer_id,is_repeat,utm_campaign
seed-order-0517,2026-08-09T20:41:37Z,42.06,seed-customer-0011,false,meta_retargeting
seed-order-0795,2026-08-16T01:42:05Z,23.74,seed-customer-0717,false,meta_retargeting
seed-order-0070,2026-08-15T15:10:29Z,34.55,seed-customer-0665,true,meta_prospecting
seed-order-0302,2026-08-18T13:26:24Z,35.97,seed-customer-0109,false,klaviyo_welcome_flow
seed-order-0207,2026-08-03T06:05:43Z,41.4,seed-customer-0975,true,google_brand_search
seed-order-1243,2026-08-10T13:29:26Z,17.68,seed-customer-0251,false,klaviyo_welcome_flow
seed-order-0813,2026-08-11T14:18:33Z,35.17,seed-customer-0835,false,google_brand_search
seed-order-0024,2026-08-23T13:58:54Z,26.66,seed-customer-0710,true,google_brand_search
seed-order-0947,2026-08-07T22:27:43Z,18.04,seed-customer-0688,false,meta_retargeting
seed-order-0515,2026-08-12T22:20:01Z,21.98,seed-customer-0041,false,google_brand_search
seed-order-0573,2026-08-08T13:04:00Z,35.62,seed-customer-0498,false,
seed-order-1173,2026-08-07T05:15:53Z,25.12,seed-customer-0700,false,meta_retargeting
seed-order-0926,2026-08-22T14:20:09Z,30.37,seed-customer-0521,false,meta_retargeting
seed-order-0659,2026-08-01T13:49:45Z,48.07,seed-customer-0210,false,meta_prospecting
seed-order-0840,2026-08-14T12:38:43Z,27.24,seed-customer-0547,false,
seed-order-0606,2026-08-15T09:39:09Z,34.93,seed-customer-0758,false,meta_prospecting
seed-order-0374,2026-08-10T02:10:28Z,26.64,seed-customer-0353,false,meta_prospecting
seed-order-0706,2026-08-26T18:29:08Z,35.88,seed-customer-0144,false,meta_prospecting
seed-order-1073,2026-08-07T08:46:51Z,29.83,seed-customer-0729,false,google_brand_search
seed-order-0145,2026-08-01T23:55:15Z,15.8,seed-customer-0924,true,meta_prospecting
seed-order-0085,2026-08-09T13:55:28Z,41.77,seed-customer-0947,true,meta_prospecting
seed-order-0671,2026-08-30T15:29:03Z,33.9,seed-customer-0749,false,meta_retargeting
seed-order-1021,2026-08-26T04:41:39Z,26.85,seed-customer-0565,false,meta_prospecting
seed-order-1217,2026-08-04T17:37:21Z,35.63,seed-customer-0473,false,meta_prospecting
seed-order-1098,2026-08-28T20:34:41Z,33.69,seed-customer-0690,false,meta_prospecting
seed-order-0285,2026-08-09T17:51:37Z,29.7,seed-customer-0127,true,meta_retargeting
seed-order-0944,2026-08-27T14:44:15Z,31.95,seed-customer-0467,false,meta_prospecting
seed-order-1292,2026-08-17T21:35:48Z,26.75,seed-customer-0222,false,klaviyo_welcome_flow
seed-order-0186,2026-08-02T18:19:00Z,28.28,seed-customer-0326,true,meta_retargeting
seed-order-0920,2026-08-02T02:25:19Z,31.79,seed-customer-0490,false,google_brand_search
seed-order-0090,2026-08-10T03:02:36Z,34.89,seed-customer-0919,true,klaviyo_welcome_flow
seed-order-0868,2026-08-12T16:46:06Z,48.45,seed-customer-0218,false,
seed-order-0017,2026-08-13T19:19:33Z,38.23,seed-customer-0134,true,klaviyo_welcome_flow
seed-order-1040,2026-08-23T11:06:32Z,29.83,seed-customer-0543,false,meta_retargeting
seed-order-0256,2026-08-19T07:59:14Z,39.54,seed-customer-0291,true,meta_prospecting
seed-order-0220,2026-08-16T10:46:00Z,27.85,seed-customer-0065,true,google_brand_search
seed-order-1067,2026-08-07T13:28:30Z,24.49,seed-customer-0839,false,google_brand_search
seed-order-1036,2026-08-15T02:37:39Z,50.48,seed-customer-0047,false,google_brand_search
seed-order-0399,2026-08-14T15:32:14Z,39.75,seed-customer-0983,false,
seed-order-0679,2026-08-11T14:44:44Z,30.56,seed-customer-0940,false,google_brand_search
seed-order-0219,2026-08-01T01:16:34Z,36.79,seed-customer-0287,true,google_brand_search
seed-order-1027,2026-08-03T23:16:53Z,40.89,seed-customer-0747,false,meta_prospecting
seed-order-0645,2026-08-16T14:59:10Z,34.7,seed-customer-0793,false,google_brand_search
seed-order-1164,2026-08-28T14:20:45Z,30.23,seed-customer-0436,false,meta_retargeting
seed-order-0912,2026-08-24T04:14:22Z,40.79,seed-customer-0147,false,meta_retargeting
seed-order-0524,2026-08-03T02:48:20Z,28.1,seed-customer-0415,false,meta_prospecting
seed-order-0131,2026-08-04T14:06:22Z,23.89,seed-customer-0723,true,google_brand_search
seed-order-0797,2026-08-21T00:45:38Z,31.59,seed-customer-0062,false,
seed-order-0594,2026-08-03T10:17:09Z,19.33,seed-customer-0741,false,meta_prospecting
seed-order-0535,2026-08-12T17:05:35Z,20.08,seed-customer-0241,false,google_brand_search
seed-order-0471,2026-08-15T18:29:41Z,30.69,seed-customer-0379,false,meta_prospecting
seed-order-0310,2026-08-22T07:36:24Z,35.18,seed-customer-0781,false,meta_prospecting
seed-order-1083,2026-08-26T01:51:34Z,36.03,seed-customer-0556,false,meta_retargeting
seed-order-0454,2026-08-13T09:40:06Z,25.78,seed-customer-0619,false,
seed-order-0075,2026-08-04T20:39:31Z,21.02,seed-customer-0124,true,
seed-order-1135,2026-08-10T03:52:50Z,30.73,seed-customer-0883,false,klaviyo_welcome_flow
seed-order-1163,2026-08-18T01:09:11Z,42.09,seed-customer-0952,false,klaviyo_welcome_flow
seed-order-1281,2026-08-28T01:29:56Z,24.04,seed-customer-0639,false,meta_prospecting
seed-order-0547,2026-08-11T22:37:52Z,29.16,seed-customer-0732,false,meta_prospecting
seed-order-1092,2026-08-22T10:23:08Z,22.11,seed-customer-0550,false,
seed-order-0842,2026-08-05T07:11:12Z,32.26,seed-customer-0765,false,meta_prospecting
seed-order-0122,2026-08-03T21:34:09Z,42.89,seed-customer-0320,true,meta_retargeting
seed-order-0489,2026-08-11T21:17:59Z,42.86,seed-customer-0599,false,meta_prospecting
seed-order-0361,2026-08-25T13:18:31Z,51.64,seed-customer-0992,false,meta_retargeting
seed-order-0984,2026-08-18T00:37:25Z,18.43,seed-customer-0227,false,klaviyo_welcome_flow
seed-order-0511,2026-08-06T12:11:28Z,19.69,seed-customer-0424,false,meta_prospecting
seed-order-0421,2026-08-05T15:50:49Z,29.19,seed-customer-0190,false,google_brand_search
seed-order-0595,2026-08-16T19:12:08Z,29.56,seed-customer-0392,false,google_brand_search
seed-order-0105,2026-08-15T05:50:48Z,31.73,seed-customer-0976,true,meta_retargeting
seed-order-0423,2026-08-21T13:26:45Z,31.68,seed-customer-0615,false,meta_prospecting
seed-order-1118,2026-08-26T01:48:21Z,26.07,seed-customer-0562,false,meta_prospecting
seed-order-0368,2026-08-19T16:11:00Z,34.39,seed-customer-0326,false,meta_prospecting
seed-order-1054,2026-08-01T07:50:13Z,43.57,seed-customer-0508,false,klaviyo_welcome_flow
seed-order-0559,2026-08-13T23:57:17Z,41.56,seed-customer-0452,false,meta_prospecting
seed-order-0120,2026-08-19T12:57:02Z,36.03,seed-customer-1013,true,google_brand_search
seed-order-0602,2026-08-19T02:59:13Z,12.31,seed-customer-0459,false,
seed-order-1242,2026-08-18T08:26:54Z,34.06,seed-customer-0542,false,meta_prospecting
seed-order-0267,2026-08-28T14:58:10Z,25.34,seed-customer-0543,true,
seed-order-0771,2026-08-27T06:47:37Z,32.43,seed-customer-0069,false,meta_retargeting
seed-order-0887,2026-08-19T19:39:00Z,52.51,seed-customer-0488,false,meta_prospecting
seed-order-1204,2026-08-10T11:50:31Z,48.62,seed-customer-0002,false,meta_retargeting
seed-order-0296,2026-08-01T05:34:32Z,17.14,seed-customer-0869,false,google_brand_search
seed-order-1043,2026-08-13T12:07:42Z,21.15,seed-customer-0093,false,google_brand_search
seed-order-0329,2026-08-24T15:25:06Z,30.93,seed-customer-0156,false,google_brand_search
seed-order-1260,2026-08-16T17:40:16Z,40.69,seed-customer-0335,false,
seed-order-1000,2026-08-13T14:34:26Z,21.48,seed-customer-0818,false,
seed-order-1286,2026-08-25T15:33:26Z,29.65,seed-customer-0683,false,
seed-order-1061,2026-08-09T06:32:23Z,43.04,seed-customer-0130,false,meta_prospecting
seed-order-0686,2026-08-01T21:55:31Z,39.11,seed-customer-0062,false,
seed-order-0127,2026-08-18T19:48:53Z,23.05,seed-customer-0690,true,meta_prospecting
seed-order-0174,2026-08-12T14:32:21Z,22.53,seed-customer-0920,true,klaviyo_welcome_flow
seed-order-1162,2026-08-23T12:04:14Z,38.74,seed-customer-0352,false,meta_prospecting
seed-order-0031,2026-08-13T11:23:21Z,45.18,seed-customer-0610,true,meta_retargeting
seed-order-0276,2026-08-24T07:09:25Z,31.77,seed-customer-0421,true,google_brand_search
seed-order-1236,2026-08-29T14:11:46Z,29.88,seed-customer-0522,false,google_brand_search
seed-order-0011,2026-08-22T15:06:27Z,16.33,seed-customer-0301,true,
seed-order-0043,2026-08-06T23:10:32Z,34.0,seed-customer-0452,true,google_brand_search
seed-order-0578,2026-08-25T09:01:19Z,33.27,seed-customer-0528,false,
seed-order-0964,2026-08-12T19:54:51Z,24.68,seed-customer-1009,false,meta_retargeting
seed-order-0603,2026-08-15T00:20:06Z,19.47,seed-customer-0625,false,
seed-order-1158,2026-08-06T13:29:20Z,32.68,seed-customer-0915,false,klaviyo_welcome_flow
seed-order-0047,2026-08-10T09:41:55Z,26.05,seed-customer-0364,true,klaviyo_welcome_flow
seed-order-0032,2026-08-06T06:10:40Z,36.73,seed-customer-0731,true,
seed-order-1002,2026-08-12T05:13:29Z,25.39,seed-customer-0910,false,meta_prospecting
seed-order-1263,2026-08-13T12:18:17Z,13.2,seed-customer-0369,false,meta_prospecting
seed-order-0371,2026-08-02T19:53:13Z,36.24,seed-customer-0156,false,meta_prospecting
seed-order-1187,2026-08-11T23:33:32Z,31.18,seed-customer-0529,false,meta_prospecting
seed-order-0168,2026-08-30T05:17:28Z,29.32,seed-customer-0552,true,meta_prospecting
seed-order-0777,2026-08-15T18:37:42Z,26.78,seed-customer-0465,false,meta_retargeting
seed-order-0721,2026-08-30T11:01:28Z,18.84,seed-customer-0138,false,meta_prospecting
seed-order-1269,2026-08-26T16:15:15Z,21.76,seed-customer-0930,false,klaviyo_welcome_flow
seed-order-0314,2026-08-09T16:47:21Z,25.94,seed-customer-0084,false,
seed-order-0162,2026-08-28T13:51:19Z,19.03,seed-customer-0383,true,google_brand_search
seed-order-0973,2026-08-06T16:24:45Z,23.99,seed-customer-0006,false,meta_retargeting
seed-order-0137,2026-08-03T23:21:30Z,32.9,seed-customer-0423,true,google_brand_search
seed-order-0896,2026-08-04T09:44:17Z,41.14,seed-customer-0313,false,google_brand_search
seed-order-1045,2026-08-29T09:30:56Z,29.47,seed-customer-0696,false,klaviyo_welcome_flow
seed-order-1161,2026-08-27T04:56:55Z,39.49,seed-customer-0802,false,google_brand_search
seed-order-0629,2026-08-14T21:34:13Z,26.12,seed-customer-0849,false,klaviyo_welcome_flow
seed-order-0392,2026-08-21T17:27:44Z,36.65,seed-customer-0113,false,klaviyo_welcome_flow
seed-order-0847,2026-08-23T07:20:09Z,33.24,seed-customer-0608,false,meta_retargeting
seed-order-0899,2026-08-30T20:54:15Z,33.51,seed-customer-0665,false,meta_prospecting
seed-order-0532,2026-08-02T02:31:32Z,21.57,seed-customer-0002,false,meta_retargeting
seed-order-0913,2026-08-26T06:58:29Z,33.49,seed-customer-0605,false,meta_prospecting
seed-order-1241,2026-08-14T12:34:43Z,29.29,seed-customer-0021,false,google_brand_search
seed-order-1024,2026-08-06T08:53:19Z,40.41,seed-customer-0987,false,meta_retargeting
seed-order-0369,2026-08-05T01:43:39Z,26.94,seed-customer-0265,false,
seed-order-0107,2026-08-07T01:58:52Z,32.4,seed-customer-0563,true,meta_retargeting
seed-order-1179,2026-08-12T03:03:02Z,27.47,seed-customer-0979,false,google_brand_search
seed-order-0413,2026-08-15T17:11:16Z,28.67,seed-customer-0476,false,klaviyo_welcome_flow
seed-order-0484,2026-08-14T21:47:15Z,31.07,seed-customer-0077,false,google_brand_search
seed-order-0822,2026-08-11T10:15:19Z,25.07,seed-customer-0822,false,klaviyo_welcome_flow
seed-order-1138,2026-08-17T21:29:14Z,43.01,seed-customer-0187,false,
seed-order-0811,2026-08-05T19:55:09Z,26.33,seed-customer-0775,false,
seed-order-0156,2026-08-27T02:14:50Z,32.06,seed-customer-0654,true,meta_prospecting
seed-order-1012,2026-08-01T05:53:08Z,28.29,seed-customer-0571,false,klaviyo_welcome_flow
seed-order-0682,2026-08-11T10:12:02Z,23.19,seed-customer-0227,false,
seed-order-0736,2026-08-03T00:45:14Z,44.76,seed-customer-0387,false,meta_prospecting
seed-order-0096,2026-08-12T08:27:44Z,18.36,seed-customer-0796,true,meta_prospecting
seed-order-0818,2026-08-01T17:15:01Z,37.5,seed-customer-0720,false,
seed-order-0620,2026-08-06T12:48:46Z,33.25,seed-customer-0586,false,meta_retargeting
seed-order-0891,2026-08-20T02:28:45Z,25.59,seed-customer-0082,false,
seed-order-1206,2026-08-09T04:04:00Z,39.91,seed-customer-1009,false,meta_prospecting
seed-order-0377,2026-08-18T07:50:07Z,35.56,seed-customer-0330,false,
seed-order-0508,2026-08-08T23:58:05Z,35.43,seed-customer-0836,false,meta_prospecting
seed-order-0960,2026-08-29T11:47:36Z,23.41,seed-customer-0726,false,meta_retargeting
seed-order-0071,2026-08-09T01:39:37Z,30.32,seed-customer-0036,true,
seed-order-0903,2026-08-30T19:09:34Z,33.88,seed-customer-0703,false,klaviyo_welcome_flow
seed-order-0807,2026-08-08T12:20:28Z,27.21,seed-customer-0380,false,
seed-order-0890,2026-08-30T13:07:43Z,32.58,seed-customer-0794,false,meta_retargeting
seed-order-0757,2026-08-10T00:43:39Z,39.53,seed-customer-0467,false,meta_prospecting
seed-order-0069,2026-08-21T14:41:36Z,33.05,seed-customer-0441,true,
seed-order-1031,2026-08-27T12:18:15Z,31.89,seed-customer-0329,false,meta_retargeting
seed-order-0746,2026-08-07T12:21:30Z,40.58,seed-customer-0684,false,klaviyo_welcome_flow
seed-order-0166,2026-08-03T09:03:06Z,22.36,seed-customer-0371,true,meta_prospecting
seed-order-0638,2026-08-03T11:27:52Z,25.6,seed-customer-0612,false,meta_prospecting
seed-order-0363,2026-08-02T02:18:04Z,15.5,seed-customer-0179,false,meta_retargeting
seed-order-0224,2026-08-21T06:35:36Z,35.96,seed-customer-0719,true,google_brand_search
seed-order-0711,2026-08-26T02:55:12Z,24.93,seed-customer-0458,false,klaviyo_welcome_flow
seed-order-0231,2026-08-19T23:48:03Z,33.51,seed-customer-0922,true,google_brand_search
seed-order-0780,2026-08-06T13:48:36Z,33.5,seed-customer-0127,false,meta_retargeting
seed-order-0252,2026-08-10T14:35:08Z,35.91,seed-customer-0305,true,google_brand_search
seed-order-0929,2026-08-17T12:27:09Z,27.33,seed-customer-0120,false,meta_retargeting
seed-order-0292,2026-08-05T00:38:46Z,22.76,seed-customer-0825,false,
seed-order-0082,2026-08-26T08:04:03Z,39.84,seed-customer-0934,true,meta_prospecting
seed-order-0414,2026-08-23T22:48:15Z,25.17,seed-customer-0719,false,meta_retargeting
seed-order-0609,2026-08-11T02:00:20Z,42.43,seed-customer-0987,false,
seed-order-0805,2026-08-14T05:48:21Z,43.25,seed-customer-0155,false,meta_retargeting
seed-order-0521,2026-08-07T05:40:47Z,24.7,seed-customer-0262,false,klaviyo_welcome_flow
seed-order-0327,2026-08-12T09:30:59Z,32.07,seed-customer-0417,false,google_brand_search
seed-order-0622,2026-08-09T15:44:47Z,38.42,seed-customer-0641,false,meta_prospecting
seed-order-1188,2026-08-14T00:00:21Z,29.08,seed-customer-0604,false,
seed-order-0833,2026-08-12T17:41:06Z,35.54,seed-customer-0684,false,meta_prospecting
seed-order-1065,2026-08-06T20:45:50Z,24.37,seed-customer-0308,false,meta_prospecting
seed-order-1208,2026-08-12T10:46:21Z,15.13,seed-customer-0813,false,google_brand_search
seed-order-0398,2026-08-19T13:22:54Z,48.16,seed-customer-1008,false,meta_prospecting
seed-order-0143,2026-08-30T03:31:19Z,24.48,seed-customer-0427,true,meta_retargeting
seed-order-0229,2026-08-17T21:44:29Z,34.55,seed-customer-0875,true,
seed-order-0227,2026-08-24T17:47:19Z,36.69,seed-customer-0848,true,meta_prospecting
seed-order-0446,2026-08-14T10:47:41Z,37.49,seed-customer-0336,false,meta_prospecting
seed-order-0333,2026-08-09T02:02:03Z,19.08,seed-customer-0417,false,meta_retargeting
seed-order-0433,2026-08-29T19:58:53Z,24.86,seed-customer-0468,false,meta_prospecting
seed-order-1047,2026-08-24T05:51:01Z,26.74,seed-customer-0899,false,meta_prospecting
seed-order-1116,2026-08-02T19:55:58Z,35.14,seed-customer-0838,false,klaviyo_welcome_flow
seed-order-0057,2026-08-17T13:53:50Z,38.59,seed-customer-0270,true,meta_prospecting
seed-order-0580,2026-08-14T04:41:56Z,39.09,seed-customer-0423,false,meta_prospecting
seed-order-0522,2026-08-22T18:36:46Z,22.98,seed-customer-0065,false,google_brand_search
seed-order-0192,2026-08-05T23:22:06Z,36.21,seed-customer-0547,true,
seed-order-1183,2026-08-01T03:38:17Z,37.23,seed-customer-0793,false,
seed-order-0445,2026-08-26T10:51:34Z,23.48,seed-customer-0454,false,google_brand_search
seed-order-1258,2026-08-21T02:47:09Z,30.56,seed-customer-0979,false,google_brand_search
seed-order-0438,2026-08-20T16:46:02Z,32.44,seed-customer-0455,false,meta_retargeting
seed-order-1168,2026-08-04T12:57:42Z,34.12,seed-customer-0642,false,meta_retargeting
seed-order-0758,2026-08-26T03:33:39Z,30.98,seed-customer-0483,false,meta_prospecting
seed-order-0616,2026-08-27T16:26:13Z,43.87,seed-customer-0846,false,meta_retargeting
seed-order-0197,2026-08-25T12:02:32Z,20.97,seed-customer-0667,true,meta_retargeting
seed-order-0820,2026-08-27T22:13:16Z,42.63,seed-customer-0219,false,google_brand_search
seed-order-0860,2026-08-01T15:28:03Z,24.4,seed-customer-0515,false,
seed-order-0027,2026-08-01T04:56:45Z,25.37,seed-customer-0539,true,meta_retargeting
seed-order-0283,2026-08-16T13:50:54Z,21.03,seed-customer-0859,true,
seed-order-0466,2026-08-05T10:30:39Z,31.28,seed-customer-0461,false,meta_prospecting
seed-order-0136,2026-08-15T05:38:12Z,40.51,seed-customer-0779,true,meta_retargeting
seed-order-0230,2026-08-16T07:31:21Z,46.61,seed-customer-0270,true,
seed-order-0480,2026-08-16T17:09:59Z,19.82,seed-customer-0619,false,meta_prospecting
seed-order-0337,2026-08-23T01:04:31Z,40.28,seed-customer-0539,false,meta_prospecting
seed-order-0585,2026-08-03T01:05:17Z,30.76,seed-customer-0329,false,klaviyo_welcome_flow
seed-order-1018,2026-08-18T16:03:58Z,28.23,seed-customer-0450,false,google_brand_search
seed-order-0093,2026-08-22T16:02:31Z,43.38,seed-customer-0499,true,meta_retargeting
seed-order-0288,2026-08-10T09:54:50Z,34.21,seed-customer-0344,false,google_brand_search
seed-order-0464,2026-08-08T06:36:42Z,37.77,seed-customer-0538,false,google_brand_search
seed-order-0348,2026-08-20T16:45:01Z,38.24,seed-customer-0134,false,klaviyo_welcome_flow
seed-order-0405,2026-08-06T22:02:09Z,22.34,seed-customer-0929,false,
seed-order-0701,2026-08-05T19:51:09Z,22.62,seed-customer-0553,false,google_brand_search
seed-order-1090,2026-08-14T04:58:05Z,34.54,seed-customer-0114,false,klaviyo_welcome_flow
seed-order-0878,2026-08-24T15:45:14Z,25.24,seed-customer-0838,false,meta_retargeting
seed-order-0931,2026-08-30T05:07:07Z,22.95,seed-customer-0421,false,meta_prospecting
seed-order-1052,2026-08-03T02:26:51Z,22.96,seed-customer-0909,false,meta_prospecting
seed-order-1219,2026-08-17T13:48:59Z,26.52,seed-customer-0851,false,meta_prospecting
seed-order-0792,2026-08-24T07:05:01Z,48.0,seed-customer-0620,false,meta_prospecting
seed-order-1166,2026-08-26T02:19:40Z,36.64,seed-customer-0559,false,
seed-order-1300,2026-08-28T23:30:42Z,22.28,seed-customer-0561,false,google_brand_search
seed-order-0971,2026-08-05T17:38:04Z,28.12,seed-customer-0244,false,klaviyo_welcome_flow
seed-order-0821,2026-08-16T02:05:55Z,41.49,seed-customer-1004,false,klaviyo_welcome_flow
seed-order-0831,2026-08-29T06:54:46Z,31.68,seed-customer-0518,false,meta_retargeting
seed-order-1250,2026-08-03T04:56:53Z,24.89,seed-customer-0507,false,google_brand_search
seed-order-0543,2026-08-02T06:18:53Z,26.8,seed-customer-0987,false,google_brand_search
seed-order-0709,2026-08-30T20:59:15Z,32.44,seed-customer-0634,false,klaviyo_welcome_flow
seed-order-0851,2026-08-22T08:56:26Z,37.95,seed-customer-0472,false,
seed-order-1051,2026-08-18T07:23:39Z,41.04,seed-customer-0648,false,google_brand_search
seed-order-1252,2026-08-07T02:30:36Z,30.83,seed-customer-0146,false,google_brand_search
seed-order-0138,2026-08-17T15:06:43Z,24.6,seed-customer-0709,true,google_brand_search
seed-order-0729,2026-08-25T18:01:35Z,29.11,seed-customer-0347,false,klaviyo_welcome_flow
seed-order-0702,2026-08-13T08:01:58Z,27.74,seed-customer-0005,false,meta_retargeting
seed-order-0977,2026-08-19T14:07:38Z,32.9,seed-customer-1008,false,meta_prospecting
seed-order-0079,2026-08-30T13:47:47Z,33.52,seed-customer-0328,true,meta_prospecting
seed-order-1234,2026-08-16T01:57:58Z,42.37,seed-customer-0020,false,meta_prospecting
seed-order-0794,2026-08-27T07:32:42Z,44.87,seed-customer-0584,false,meta_retargeting
seed-order-1153,2026-08-13T15:19:24Z,45.18,seed-customer-0785,false,google_brand_search
seed-order-0741,2026-08-12T03:44:29Z,31.25,seed-customer-1003,false,google_brand_search
seed-order-0201,2026-08-20T11:56:31Z,11.6,seed-customer-0124,true,meta_prospecting
seed-order-0084,2026-08-24T02:31:34Z,26.05,seed-customer-0517,true,klaviyo_welcome_flow
seed-order-1030,2026-08-07T12:00:25Z,27.57,seed-customer-0839,false,google_brand_search
seed-order-0655,2026-08-16T17:25:50Z,19.14,seed-customer-0672,false,
seed-order-1299,2026-08-14T17:12:18Z,39.48,seed-customer-0730,false,meta_retargeting
seed-order-0854,2026-08-19T21:33:48Z,40.54,seed-customer-0126,false,
seed-order-0150,2026-08-27T07:55:35Z,19.89,seed-customer-0477,true,klaviyo_welcome_flow
seed-order-0643,2026-08-30T16:43:36Z,38.71,seed-customer-0465,false,meta_prospecting
seed-order-0556,2026-08-05T12:33:26Z,23.4,seed-customer-0333,false,meta_retargeting
seed-order-1143,2026-08-07T23:36:17Z,23.68,seed-customer-0303,false,meta_retargeting
seed-order-0919,2026-08-24T07:49:58Z,32.8,seed-customer-0935,false,meta_retargeting
seed-order-0397,2026-08-14T03:18:38Z,32.84,seed-customer-0530,false,meta_prospecting
seed-order-1160,2026-08-16T03:28:02Z,43.87,seed-customer-0571,false,meta_prospecting
seed-order-0081,2026-08-15T09:36:40Z,53.07,seed-customer-0041,true,meta_retargeting
seed-order-0765,2026-08-23T18:25:32Z,32.56,seed-customer-0908,false,meta_prospecting
seed-order-1041,2026-08-20T02:35:27Z,36.63,seed-customer-0206,false,meta_retargeting
seed-order-0208,2026-08-21T04:00:57Z,26.25,seed-customer-0209,true,
seed-order-0596,2026-08-23T21:37:24Z,29.44,seed-customer-0184,false,meta_prospecting
seed-order-1221,2026-08-04T00:44:50Z,31.16,seed-customer-0948,false,
