campaign_external_id,date,impressions,clicks,spend,conversions,revenue,frequency,reach,email_sends,email_opens,email_clicks
klaviyo_welcome_flow,2026-08-13,1226,44,0,4,164.52,1,1226,1226,526,44
meta_prospecting,2026-08-14,40422,813,442.79,23,1385.87,2.1798,18544,,,
meta_retargeting,2026-08-14,10355,262,98.9,14,519.17,1.8514,5593,,,
google_brand_search,2026-08-14,4299,319,78.17,23,344.31,1.1578,3713,,,
klaviyo_welcome_flow,2026-08-14,1265,46,0,4,178.66,1,1265,1265,547,46
meta_prospecting,2026-08-15,41776,848,461.69,24,1438.3,2.2411,18641,,,
meta_retargeting,2026-08-15,10485,262,99.58,14,530.2,1.8571,5646,,,
google_brand_search,2026-08-15,4297,320,77.68,23,343.67,1.1437,3757,,,
klaviyo_welcome_flow,2026-08-15,1218,43,0,4,167.47,1,1218,1218,521,43
meta_prospecting,2026-08-16,42030,834,466.36,23,1459.24,2.2937,18324,,,
meta_retargeting,2026-08-16,10403,264,99.76,15,516.74,1.8484,5628,,,
google_brand_search,2026-08-16,4311,326,76.92,23,338.64,1.1456,3763,,,
klaviyo_welcome_flow,2026-08-16,1235,43,0,4,163.61,1,1235,1235,530,43
meta_prospecting,2026-08-17,41317,813,457.79,23,1389.81,2.3604,17504,,,
meta_retargeting,2026-08-17,10305,257,97.26,14,517.86,1.8478,5577,,,
google_brand_search,2026-08-17,4333,325,78.32,23,343.73,1.1448,3785,,,
klaviyo_welcome_flow,2026-08-17,1225,43,0,4,167.23,1,1225,1225,534,43
meta_prospecting,2026-08-18,39927,803,443.39,23,1391.26,2.3917,16694,,,
meta_retargeting,2026-08-18,10293,254,98.73,14,512.53,1.8489,5567,,,
google_brand_search,2026-08-18,4142,313,74.06,22,323.59,1.1486,3606,,,
klaviyo_welcome_flow,2026-08-18,1244,43,0,4,163.88,1,1244,1244,540,43
meta_prospecting,2026-08-19,40497,780,458.09,22,1382.74,2.5273,16024,,,
meta_retargeting,2026-08-19,10392,261,97.62,14,512.1,1.8468,5627,,,
google_brand_search,2026-08-19,4322,324,77.18,23,333.72,1.1407,3789,,,
klaviyo_welcome_flow,2026-08-19,1237,42,0,4,156.86,1,1237,1237,542,42
meta_prospecting,2026-08-20,41086,769,466.33,21,1348.25,2.6255,15649,,,
meta_retargeting,2026-08-20,10817,267,103.48,15,527.06,1.8538,5835,,,
google_brand_search,2026-08-20,4310,329,77.2,24,334.78,1.1611,3712,,,
klaviyo_welcome_flow,2026-08-20,1247,42,0,4,159.14,1,1247,1247,546,42
meta_prospecting,2026-08-21,40380,755,468.65,21,1267.69,2.7382,14747,,,
meta_retargeting,2026-08-21,10382,258,98.48,14,500.48,1.8626,5574,,,
google_brand_search,2026-08-21,4330,324,78.55,23,339.07,1.1571,3742,,,
klaviyo_welcome_flow,2026-08-21,1255,42,0,4,158.18,1,1255,1255,537,42
meta_prospecting,2026-08-22,40508,718,486.1,20,1255.3,2.8916,14009,,,
meta_retargeting,2026-08-22,10317,260,97.43,14,518.31,1.8613,5543,,,
google_brand_search,2026-08-22,4282,319,77.01,23,344.36,1.1551,3707,,,
klaviyo_welcome_flow,2026-08-22,1219,40,0,4,153.97,1,1219,1219,533,40
meta_prospecting,2026-08-23,41300,714,494.37,20,1216.01,3.0082,13729,,,
meta_retargeting,2026-08-23,10139,255,95.56,14,499.87,1.8321,5534,,,
google_brand_search,2026-08-23,4066,304,72.94,22,326.57,1.1581,3511,,,
klaviyo_welcome_flow,2026-08-23,1257,41,0,4,156.39,1,1257,1257,551,41
meta_prospecting,2026-08-24,42289,699,517.74,20,1193.77,3.1187,13560,,,
meta_retargeting,2026-08-24,10707,264,102.22,15,534.5,1.8403,5818,,,
google_brand_search,2026-08-24,4257,314,76.03,22,332.76,1.1398,3735,,,
klaviyo_welcome_flow,2026-08-24,1218,39,0,4,146.88,1,1218,1218,521,39
meta_prospecting,2026-08-25,42374,687,534.51,19,1209.35,3.199,13246,,,
meta_retargeting,2026-08-25,10660,263,100.66,15,535.35,1.8653,5715,,,
google_brand_search,2026-08-25,4217,318,75.04,23,324.87,1.1397,3700,,,
klaviyo_welcome_flow,2026-08-25,1255,40,0,4,148.34,1,1255,1255,530,40
meta_prospecting,2026-08-26,41891,669,539.1,19,1122.92,3.3342,12564,,,
meta_retargeting,2026-08-26,10583,268,101.72,15,523.7,1.8473,5729,,,
google_brand_search,2026-08-26,4167,307,75.5,22,338.28,1.1601,3592,,,
klaviyo_welcome_flow,2026-08-26,1218,39,0,3,144.35,1,1218,1218,521,39
meta_prospecting,2026-08-27,39605,609,516.16,17,1013.71,3.465,11430,,,
meta_retargeting,2026-08-27,10753,265,101.25,15,536.24,1.8565,5792,,,
google_brand_search,2026-08-27,4213,316,76.57,22,328.82,1.1565,3643,,,
klaviyo_welcome_flow,2026-08-27,1220,38,0,3,144.04,1,1220,1220,531,38
meta_prospecting,2026-08-28,40814,591,541.63,17,981.88,3.5915,11364,,,
meta_retargeting,2026-08-28,10319,258,98.05,14,507.35,1.862,5542,,,
google_brand_search,2026-08-28,4227,323,76.86,23,345.64,1.1533,3665,,,
klaviyo_welcome_flow,2026-08-28,1291,39,0,4,151.7,1,1291,1291,545,39
meta_prospecting,2026-08-29,40804,571,542.78,16,943.86,3.7074,11006,,,
meta_retargeting,2026-08-29,10425,259,97.98,14,500.4,1.8679,5581,,,
google_brand_search,2026-08-29,4335,323,78.22,23,345.91,1.139,3806,,,
klaviyo_welcome_flow,2026-08-29,1237,38,0,3,145.06,1,1237,1237,524,38
meta_prospecting,2026-08-30,39632,545,539.54,15,880.57,3.7756,10497,,,
meta_retargeting,2026-08-30,10727,264,101.61,15,541.55,1.8682,5742,,,
google_brand_search,2026-08-30,4170,314,75.35,22,334.45,1.1475,3634,,,
klaviyo_welcome_flow,2026-08-30,1230,37,0,3,140.44,1,1230,1230,531,37
